,Autoridad,Entidad,Ano,Tipo,Descripcion,Cantidad
51,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,24
52,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Motivo_Conclusion,ORIENTACION,21
53,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Motivo_Conclusion,ACUMULACION,1
54,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,CHIAPAS,2014,Motivo_Conclusion,POR NO EXISTIR MATERIA,1
55,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,6
56,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",6
57,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,6
58,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,OMITIR RESOLVER RESPECTO DE LA SITUACION JURIDICA MIGRATORIA,3
59,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",3
60,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LAS PERSONAS PRIVADAS DE SU LIBERTAD,1
61,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,CAUSAR UN DAÑO DERIVADO DEL EMPLEO ARBITRARIO DE LA FUERZA PUBLICA,1
62,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,DETENCION ARBITRARIA,1
63,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,1
64,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,EMPLEAR ARBITRARIAMENTE LA FUERZA PUBLICA,1
65,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,"OBTENER, REVELAR, DIVULGAR O APROVECHAR INFORMACION PROVENIENTE DE UNA INTERVENCION",1
66,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,1
67,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Hecho_Violatorio,RETENCION ILEGAL,1
68,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,3
69,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Motivo_Conclusion,ORIENTACION,1
70,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COAHUILA,2014,Motivo_Conclusion,POR NO EXISTIR MATERIA,1
71,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COLIMA,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,1
72,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COLIMA,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",1
73,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COLIMA,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,1
74,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,COLIMA,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,1
75,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,85
76,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,69
77,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,11
78,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,INCOMUNICACION,11
79,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",10
80,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR RESOLVER RESPECTO DE LA SITUACION JURIDICA MIGRATORIA,9
81,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,8
82,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,7
83,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,"TRATO CRUEL, INHUMANO O DEGRADANTE",6
84,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,"APODERARSE DE UN BIEN MUEBLE SIN EL CONSENTIMIENTO DEL PROPIETARIO, SIN QUE EXISTA CAUSA JUSTIFICADA",4
85,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR DAR INFORMACION,4
86,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,DETENCION ARBITRARIA,3
87,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,3
88,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,RETENCION ILEGAL,3
89,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,INTIMIDACION,2
90,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR EL INGRESO AL PAIS,2
91,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,2
92,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,2
93,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR EL EJERCICIO DEL PRINCIPIO DE LA EXACTA APLICACION DE LA LEY,2
94,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR REGULARIZAR LA CALIDAD MIGRATORIA,2
95,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,"OMITIR, OBSTACULIZAR O IMPEDIR LA COMUNICACION CON SU DEFENSOR O SUS FAMILIARES",2
96,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,CAUSAR UN DAÑO DERIVADO DEL EMPLEO ARBITRARIO DE LA FUERZA PUBLICA,1
97,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,"COBRAR EN FORMA INEQUITATIVA Y NO PROPORCIONAL LAS CONTRIBUCIONES, IMPUESTOS, SANCIONES Y DERECHOS",1
98,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,IMPEDIR EL EJERCICIO DEL DERECHO AL TRABAJO DIGNO Y SOCIALMENTE UTIL,1
99,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,IMPUTAR INDEBIDAMENTE HECHOS,1
100,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OBSTACULIZAR EL DERECHO A MUDAR DE RESIDENCIA DENTRO DEL PAIS,1
101,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,1
102,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,1
103,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,"OMITIR NOTIFICAR A LA FAMILIA O CONOCIDOS SOBRE EL ARRESTO, DETENCION, TRASLADO, LUGAR DE CUSTODIA, ESTADO FISICO Y PSICOLOGICO, ASI COMO SU SITUACION JURIDICA",1
104,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR OBSERVAR EL DERECHO A LA PRESUNCION DE INOCENCIA,1
105,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR PRESTAR ATENCION MEDICA,1
106,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,"OMITIR PROPORCIONAR INTERPRETE O TRADUCTOR, SI NO HABLA EL IDIOMA",1
107,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,1
108,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Hecho_Violatorio,TRASGREDIR LOS DERECHOS DE LOS APATRIDAS,1
109,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Motivo_Conclusion,ORIENTACION,14
110,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Motivo_Conclusion,CONCILIACION,6
111,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,6
112,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Motivo_Conclusion,POR NO EXISTIR MATERIA,3
113,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DISTRITO FEDERAL,2014,Motivo_Conclusion,DESISTIMIENTO DEL QUEJOSO,1
114,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DURANGO,2014,Hecho_Violatorio,DETENCION ARBITRARIA,1
115,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DURANGO,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",1
116,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,DURANGO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,1
117,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,EXTRANJERO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,2
118,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,EXTRANJERO,2014,Hecho_Violatorio,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHO A LOS MIGRANTES Y DE SUS FAMILIARES,1
119,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,EXTRANJERO,2014,Hecho_Violatorio,ACTOS O OMISIONES CONTRARIOS A LA LEGALIDAD RELACIONADOS CON LA CLAUSURA ADMINISTRATIVA,1
120,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,EXTRANJERO,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",1
121,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,EXTRANJERO,2014,Hecho_Violatorio,OMITIR DAR INFORMACION,1
122,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,EXTRANJERO,2014,Hecho_Violatorio,OMITIR EL EJERCICIO DEL PRINCIPIO DE LA EXACTA APLICACION DE LA LEY,1
123,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,EXTRANJERO,2014,Hecho_Violatorio,OMITIR RESPONDER EN BREVE TERMINO A AQUEL QUE HIZO LA PETICION,1
124,INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION,GUANAJUATO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,3
