,Hecho_Violatorio,Autoridad,Ano,Entidad,Cantidad_Quejas
72,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,NAYARIT,4
73,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,DISTRITO FEDERAL,3
74,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,ZACATECAS,3
75,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,COLIMA,2
76,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,MORELOS,2
77,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,OAXACA,2
78,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,PUEBLA,2
79,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,SAN LUIS POTOSI,2
80,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,TABASCO,2
81,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,BAJA CALIFORNIA,1
82,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,CAMPECHE,1
83,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,CHIAPAS,1
84,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE MARINA
                                          
                                        158",2014,SONORA,1
85,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,MICHOACAN,9
86,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,ESTADO DE MEXICO,8
87,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,(SIN ESTADO),7
88,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,BAJA CALIFORNIA,7
89,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,SAN LUIS POTOSI,6
90,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,TAMAULIPAS,6
91,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,JALISCO,5
92,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,SINALOA,4
93,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,DISTRITO FEDERAL,3
94,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,SONORA,3
95,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,VERACRUZ,3
96,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,CHIAPAS,2
97,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,MORELOS,2
98,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,OAXACA,2
99,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,GUERRERO,1
100,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,HIDALGO,1
101,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,NAYARIT,1
102,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,PUEBLA,1
103,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE LA REPUBLICA
                                          
                                        72",2014,YUCATAN,1
104,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,CHIAPAS,22
105,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,VERACRUZ,16
106,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,OAXACA,7
107,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,DISTRITO FEDERAL,6
108,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,TABASCO,5
109,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,COAHUILA,3
110,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,SAN LUIS POTOSI,3
111,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,TAMAULIPAS,2
112,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,ESTADO DE MEXICO,1
113,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,JALISCO,1
114,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,MORELOS,1
115,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO NACIONAL DE MIGRACION DE LA SECRETARIA DE GOBERNACION
                                          
                                        68",2014,SONORA,1
116,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,NAYARIT,7
117,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,TAMAULIPAS,4
118,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,OAXACA,3
119,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,SONORA,3
120,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,CHIHUAHUA,2
121,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,ESTADO DE MEXICO,2
122,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,MICHOACAN,2
123,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,DURANGO,1
124,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,GUANAJUATO,1
125,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,SINALOA,1
126,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,TABASCO,1
127,"TRATO CRUEL, INHUMANO O DEGRADANTE","ORGANO ADMINISTRATIVO DESCONCENTRADO PREVENCION Y READAPTACION SOCIAL DE LA SECRETARIA DE GOBERNACIÓN
                                          
                                        28",2014,VERACRUZ,1
128,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,SAN LUIS POTOSI,8
129,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,TAMAULIPAS,7
130,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,VERACRUZ,2
131,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,CHIHUAHUA,1
132,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,ESTADO DE MEXICO,1
133,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,GUERRERO,1
134,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,JALISCO,1
135,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,MICHOACAN,1
136,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,SONORA,1
137,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,YUCATAN,1
138,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE SEGURIDAD
                                          
                                        25",2014,ZACATECAS,1
139,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO MEXICANO DEL SEGURO SOCIAL
                                          
                                        5",2014,CHIAPAS,2
140,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO MEXICANO DEL SEGURO SOCIAL
                                          
                                        5",2014,OAXACA,2
141,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO MEXICANO DEL SEGURO SOCIAL
                                          
                                        5",2014,CHIHUAHUA,1
142,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE EDUCACION PUBLICA
                                          
                                        3",2014,DISTRITO FEDERAL,2
143,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE EDUCACION PUBLICA
                                          
                                        3",2014,OAXACA,1
144,"TRATO CRUEL, INHUMANO O DEGRADANTE","SERVICIO DE ADMINISTRACION TRIBUTARIA DE LA SHCP
                                          
                                        3",2014,SONORA,2
145,"TRATO CRUEL, INHUMANO O DEGRADANTE","SERVICIO DE ADMINISTRACION TRIBUTARIA DE LA SHCP
                                          
                                        3",2014,BAJA CALIFORNIA,1
146,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO
                                          
                                        2",2014,CHIAPAS,1
147,"TRATO CRUEL, INHUMANO O DEGRADANTE","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO
                                          
                                        2",2014,OAXACA,1
148,"TRATO CRUEL, INHUMANO O DEGRADANTE","PETROLEOS MEXICANOS
                                          
                                        2",2014,GUERRERO,1
149,"TRATO CRUEL, INHUMANO O DEGRADANTE","PETROLEOS MEXICANOS
                                          
                                        2",2014,SONORA,1
150,"TRATO CRUEL, INHUMANO O DEGRADANTE","SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA EN EL ESTADO DE CHIAPAS
                                          
                                        2",2014,CHIAPAS,2
151,"TRATO CRUEL, INHUMANO O DEGRADANTE","AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO DE LA SECRETARIA DE COMUNICACIONES Y TRANSPORTES
                                          
                                        1",2014,DISTRITO FEDERAL,1
152,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION FEDERAL PARA LA PROTECCION CONTRA RIESGOS SANITARIOS
                                          
                                        1",2014,CHIAPAS,1
153,"TRATO CRUEL, INHUMANO O DEGRADANTE","COMISION NACIONAL DE AREAS NATURALES PROTEGIDAS SEMARNAT
                                          
                                        1",2014,CHIAPAS,1
154,"TRATO CRUEL, INHUMANO O DEGRADANTE","DIRECCION GENERAL DE CENTROS DE FORMACION PARA EL TRABAJO DE LA SECRETARIA DE EDUCACION PUBLICA
                                          
                                        1",2014,CHIAPAS,1
155,"TRATO CRUEL, INHUMANO O DEGRADANTE","LICONSA S.A. DE C.V
                                          
                                        1",2014,ESTADO DE MEXICO,1
156,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA FEDERAL DEL CONSUMIDOR
                                          
                                        1",2014,CHIAPAS,1
157,"TRATO CRUEL, INHUMANO O DEGRADANTE","PROCURADURIA GENERAL DE JUSTICIA MILITAR
                                          
                                        1",2014,MICHOACAN,1
158,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE DESARROLLO SOCIAL
                                          
                                        1",2014,ESTADO DE MEXICO,1
159,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE GOBERNACION
                                          
                                        1",2014,SONORA,1
160,"TRATO CRUEL, INHUMANO O DEGRADANTE","SECRETARIA DE RELACIONES EXTERIORES
                                          
                                        1",2014,EXTRANJERO,1
161,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,MICHOACAN,218
162,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,TAMAULIPAS,13
163,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,GUERRERO,12
164,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,ESTADO DE MEXICO,10
165,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,CHIAPAS,9
166,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,MORELOS,9
167,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,(SIN ESTADO),8
168,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,DISTRITO FEDERAL,8
169,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,VERACRUZ,7
170,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,TABASCO,6
171,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,COAHUILA,5
172,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,HIDALGO,5
173,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,JALISCO,4
174,DETENCION ARBITRARIA,"POLICIA FEDERAL DE LA SECRETARIA DE GOBERNACION
                                          
                                        339",2014,SAN LUIS POTOSI,4
