,Hecho_Violatorio,Autoridad,Ano,Entidad,Municipio,Cantidad_Quejas
35,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,2
36,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LOS ADULTOS MAYORES,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,1
37,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LOS INDIGENAS,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,1
38,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,1
39,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,1
40,OMITIR PROVEER DE INSTALACIONES Y MATERIALES ADECUADOS AL SERVICIO EDUCATIVO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,1
41,TRASGREDIR EL DERECHO A LA EDUCACION DEL MENOR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,1
42,TRASGREDIR EL DERECHO A LA LIBERTAD SEXUAL,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,COYOACAN,1
43,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,33
44,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,2
45,"OMITIR BRINDAR LA ATENCION, CUIDADOS O PRESTAR AUXILIO A CUALQUIER PERSONA TENIENDO LA OBLIGACION DE HACERLO",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,2
46,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,2
47,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,1
48,"OMITIR DICTAR EL ACUERDO ESCRITO CORRESPONDIENTE, EN RESPUESTA A LA PETICION",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,1
49,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,1
50,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,1
51,OMITIR PROPORCIONAR IGUALDAD DE CONDICIONES EN EL TRABAJO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,1
52,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,1
53,TRASGREDIR EL DERECHO A LA LIBERTAD SEXUAL,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,GUSTAVO A. MADERO,1
54,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,29
55,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,3
56,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,3
57,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,2
58,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
59,IMPEDIR EL EJERCICIO DEL DERECHO AL TRABAJO DIGNO Y SOCIALMENTE UTIL,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
60,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
61,OMITIR BRINDAR UNA EDUCACION DE CALIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
62,"OMITIR CUSTODIAR, VIGILAR, PROTEGER, ESTABLECER MEDIDAS CAUTELARES Y/O DAR SEGURIDAD A PERSONAS",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
63,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
64,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
65,OMITIR RESPONDER EN BREVE TERMINO A AQUEL QUE HIZO LA PETICION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
66,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
67,TRASGREDIR EL DERECHO A LA LIBERTAD SEXUAL,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
68,TRASGREDIR LA LIBERTAD SEXUAL DE LOS MENORES,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
69,"TRATO CRUEL, INHUMANO O DEGRADANTE",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,ALVARO OBREGON,1
70,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,VENUSTIANO CARRANZA,26
71,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,VENUSTIANO CARRANZA,2
72,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,VENUSTIANO CARRANZA,2
73,TRASGREDIR LA LIBERTAD SEXUAL DE LOS MENORES,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,VENUSTIANO CARRANZA,2
74,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,VENUSTIANO CARRANZA,1
75,"OMITIR CUSTODIAR, VIGILAR, PROTEGER, ESTABLECER MEDIDAS CAUTELARES Y/O DAR SEGURIDAD A PERSONAS",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,VENUSTIANO CARRANZA,1
76,OMITIR PROPORCIONAR ATENCION MEDICA,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,VENUSTIANO CARRANZA,1
77,OMITIR PROVEER DE INSTALACIONES Y MATERIALES ADECUADOS AL SERVICIO EDUCATIVO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,VENUSTIANO CARRANZA,1
78,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,22
79,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,2
80,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,2
81,COARTAR EL ADECUADO DESARROLLO FISICO O MENTAL DEL NIÑO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,1
82,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,1
83,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,1
84,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,1
85,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,1
86,OMITIR PROPORCIONAR ATENCION MEDICA,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,1
87,OMITIR PROVEER DE INSTALACIONES Y MATERIALES ADECUADOS AL SERVICIO EDUCATIVO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,1
88,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,1
89,TRASGREDIR LA LIBERTAD SEXUAL DE LOS MENORES,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLALPAN,1
90,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,AZCAPOTZALCO,19
91,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,AZCAPOTZALCO,3
92,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,AZCAPOTZALCO,3
93,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS DE LA MUJER,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,AZCAPOTZALCO,1
94,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,AZCAPOTZALCO,1
95,IMPEDIR EL ACCESO AL TRABAJO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,AZCAPOTZALCO,1
96,"INEJECUCION DE RESOLUCION, SENTENCIA O LAUDO",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,AZCAPOTZALCO,1
97,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,AZCAPOTZALCO,1
98,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,AZCAPOTZALCO,1
99,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,BENITO JUAREZ,17
100,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,BENITO JUAREZ,2
101,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,BENITO JUAREZ,2
102,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,BENITO JUAREZ,1
103,"INEJECUCION DE RESOLUCION, SENTENCIA O LAUDO",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,BENITO JUAREZ,1
104,OMITIR PROVEER DE INSTALACIONES Y MATERIALES ADECUADOS AL SERVICIO EDUCATIVO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,BENITO JUAREZ,1
105,PRIVAR DEL DERECHO A LA EDUCACION A PERSONAS PERTENECIENTES A UN GRUPO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,BENITO JUAREZ,1
106,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,16
107,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,2
108,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,1
109,IMPEDIR EL EJERCICIO DEL DERECHO AL TRABAJO DIGNO Y SOCIALMENTE UTIL,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,1
110,OMITIR BRINDAR UNA EDUCACION DE CALIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,1
111,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,1
112,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,1
113,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,1
114,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,1
115,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,1
116,TRASGREDIR LA LIBERTAD SEXUAL DE LOS MENORES,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MIGUEL HIDALGO,1
117,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MAGDALENA CONTRERAS,12
118,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MAGDALENA CONTRERAS,4
119,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MAGDALENA CONTRERAS,1
120,IMPEDIR EL EJERCICIO DEL DERECHO AL TRABAJO DIGNO Y SOCIALMENTE UTIL,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MAGDALENA CONTRERAS,1
121,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MAGDALENA CONTRERAS,1
122,OMITIR HACER CONSTAR EL ACTO DE AUTORIDAD EN UN MANDAMIENTO ESCRITO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MAGDALENA CONTRERAS,1
123,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,MAGDALENA CONTRERAS,1
124,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,XOCHIMILCO,12
125,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,XOCHIMILCO,2
126,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,XOCHIMILCO,1
127,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,XOCHIMILCO,1
128,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,XOCHIMILCO,1
129,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,XOCHIMILCO,1
130,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLAHUAC,14
131,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLAHUAC,1
132,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,TLAHUAC,1
133,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTACALCO,11
134,IMPEDIR EL ACCESO A SERVICIOS DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTACALCO,2
135,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTACALCO,1
136,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTACALCO,1
137,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTACALCO,1
138,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTACALCO,1
139,PRIVAR A UN MENOR DE CUIDADOS CONTINUOS,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,IZTACALCO,1
140,PRESTAR INDEBIDAMENTE EL SERVICIO DE EDUCACION,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,(SIN DATO),4
141,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,(SIN DATO),2
142,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,(SIN DATO),1
143,IMPEDIR EL ACCESO AL TRABAJO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,(SIN DATO),1
144,NO SE PUEDE DETERMINAR,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,(SIN DATO),1
145,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,(SIN DATO),1
146,OMITIR BRINDAR ASESORIA JURIDICA E INFORMACION SOBRE EL DESARROLLO DEL PROCEDIMIENTO,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,(SIN DATO),1
147,OMITIR FUNDAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,(SIN DATO),1
148,OMITIR MOTIVAR EL ACTO DE AUTORIDAD,SECRETARIA DE EDUCACION PUBLICA,2014,DISTRITO FEDERAL,(SIN DATO),1
