,Entidad,Ano,Tipo,Descripcion,Cantidad
136,DISTRITO FEDERAL,2014,Hecho_Violatorio,"OMITIR BRINDAR LA ATENCION, CUIDADOS O PRESTAR AUXILIO A CUALQUIER PERSONA TENIENDO LA OBLIGACION DE HACERLO",1
137,DISTRITO FEDERAL,2014,Hecho_Violatorio,"OMITIR CUSTODIAR, VIGILAR, PROTEGER, ESTABLECER MEDIDAS CAUTELARES Y/O DAR SEGURIDAD A PERSONAS",1
138,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR DAR INFORMACION SOBRE EL ESTADO DE SALUD,1
139,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR FUNDAR EL ACTO DE AUTORIDAD,1
140,DISTRITO FEDERAL,2014,Hecho_Violatorio,OMITIR PRESTAR ATENCION MEDICA,1
141,DISTRITO FEDERAL,2014,Hecho_Violatorio,RETARDAR O ENTORPECER LA FUNCION DE INVESTIGACION O PROCURACION DE JUSTICIA,1
142,DISTRITO FEDERAL,2014,Hecho_Violatorio,REVELAR INDEBIDAMENTE LA CONDICION DE SEROPOSITIVO O ENFERMOS DE SIDA,1
143,DISTRITO FEDERAL,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,212
144,DISTRITO FEDERAL,2014,Motivo_Conclusion,ORIENTACION,38
145,DISTRITO FEDERAL,2014,Motivo_Conclusion,POR NO EXISTIR MATERIA,2
146,DURANGO,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,5
147,DURANGO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,3
148,DURANGO,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",2
149,DURANGO,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,2
150,DURANGO,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,2
151,DURANGO,2014,Hecho_Violatorio,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,1
152,DURANGO,2014,Hecho_Violatorio,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,1
153,DURANGO,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,1
154,DURANGO,2014,Hecho_Violatorio,PRIVAR DE LA VIDA,1
155,DURANGO,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,8
156,DURANGO,2014,Motivo_Conclusion,ORIENTACION,2
157,GUERRERO,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,4
158,GUERRERO,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,3
159,GUERRERO,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",1
160,GUERRERO,2014,Hecho_Violatorio,LIMITAR EL ACCESO AL SERVICIO PUBLICO DE SALUD,1
161,GUERRERO,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,1
162,GUERRERO,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,1
163,GUERRERO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,1
164,GUERRERO,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,3
165,GUERRERO,2014,Motivo_Conclusion,ORIENTACION,3
166,GUERRERO,2014,Motivo_Conclusion,POR NO EXISTIR MATERIA,1
167,GUANAJUATO,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,7
168,GUANAJUATO,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,6
169,GUANAJUATO,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,5
170,GUANAJUATO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,5
171,GUANAJUATO,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,3
172,GUANAJUATO,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,3
173,GUANAJUATO,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",1
174,GUANAJUATO,2014,Hecho_Violatorio,LIMITAR EL ACCESO AL SERVICIO PUBLICO DE SALUD,1
175,GUANAJUATO,2014,Hecho_Violatorio,NO SE PUEDE DETERMINAR,1
176,GUANAJUATO,2014,Hecho_Violatorio,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,1
177,GUANAJUATO,2014,Hecho_Violatorio,OMITIR DAR INFORMACION SOBRE EL ESTADO DE SALUD,1
178,GUANAJUATO,2014,Hecho_Violatorio,PRIVAR DE LA VIDA,1
179,GUANAJUATO,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,11
180,GUANAJUATO,2014,Motivo_Conclusion,ORIENTACION,2
181,HIDALGO,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,4
182,HIDALGO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,4
183,HIDALGO,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,3
184,HIDALGO,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,2
185,HIDALGO,2014,Hecho_Violatorio,INCUMPLIR CON EL PAGO DE PENSION,1
186,HIDALGO,2014,Hecho_Violatorio,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,1
187,HIDALGO,2014,Hecho_Violatorio,"OMITIR PRESTAR ASISTENCIA MEDICA ESPECIAL, EN CASO DE MATERNIDAD E INFANCIA",1
188,HIDALGO,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,1
189,HIDALGO,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,8
190,HIDALGO,2014,Motivo_Conclusion,ORIENTACION,2
191,JALISCO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,20
192,JALISCO,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,17
193,JALISCO,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,14
194,JALISCO,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,8
195,JALISCO,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,8
196,JALISCO,2014,Hecho_Violatorio,OMITIR IMPLEMENTAR LA INFRAESTRUCTURA NECESARIA PARA UNA ADECUADA PRESTACION DE LOS SERVICIOS DE SALUD,3
197,JALISCO,2014,Hecho_Violatorio,REALIZAR DEFICIENTEMENTE LOS TRAMITES MEDICOS,3
198,JALISCO,2014,Hecho_Violatorio,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",2
199,JALISCO,2014,Hecho_Violatorio,LIMITAR EL ACCESO AL SERVICIO PUBLICO DE SALUD,2
200,JALISCO,2014,Hecho_Violatorio,OMITIR BRINDAR ATENCION MEDICA Y/O PSICOLOGICA DE URGENCIA,2
201,JALISCO,2014,Hecho_Violatorio,OMITIR DAR RESPUESTA A LA PETICION FORMULADA POR CUALQUIER PERSONA EN EJERCICIO DE SU DERECHO,2
202,JALISCO,2014,Hecho_Violatorio,NEGAR LA RECEPCION DE UNA DENUNCIA,1
203,JALISCO,2014,Hecho_Violatorio,OMITIR RESPETAR LOS DERECHOS DE LAS PERSONAS CON ALGUN TIPO DE DISCAPACIDAD,1
204,JALISCO,2014,Hecho_Violatorio,OMITIR RESPONDER EN BREVE TERMINO A AQUEL QUE HIZO LA PETICION,1
205,JALISCO,2014,Motivo_Conclusion,DURANTE EL TRAMITE RESPECTIVO,36
206,JALISCO,2014,Motivo_Conclusion,ORIENTACION,5
207,JALISCO,2014,Motivo_Conclusion,FALTA DE INTERES PROCESAL DEL QUEJOSO,1
208,JALISCO,2014,Motivo_Conclusion,POR NO EXISTIR MATERIA,1
209,ESTADO DE MEXICO,2014,Hecho_Violatorio,OBSTACULIZAR O NEGAR LAS PRESTACIONES DE SEGURIDAD SOCIAL A QUE SE TIENE DERECHO,55
210,ESTADO DE MEXICO,2014,Hecho_Violatorio,OMITIR SUMINISTRAR MEDICAMENTOS,46
211,ESTADO DE MEXICO,2014,Hecho_Violatorio,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,33
212,ESTADO DE MEXICO,2014,Hecho_Violatorio,OMITIR PROPORCIONAR ATENCION MEDICA,32
213,ESTADO DE MEXICO,2014,Hecho_Violatorio,NEGLIGENCIA MEDICA,21
